Ticker,Financial Year End,Total Revenue,COGS,SG&A Expenses,Net Income,Basic EPS,Depreciation,Operating Cash Flow (CFO),Dividends Paid,Total Assets,Current Assets,Receivables,PP&E,Total Long-Term Debt,Current Liabilities,Total Equity,Trailing P/E (Historical),Current Trailing P/E (Live),Current PEG Ratio (Live)
TMPV.NS,2025-03-31,4368210000000.0,2739710000000.0,197800000000.0,278300000000.0,78.8,232560000000.0,631020000000.0,23030000000.0,3786420000000.0,1603250000000.0,,991050000000.0,426810000000.0,1780310000000.0,1161440000000.0,,11.138916,
TMPV.NS,2024-03-31,4312120000000.0,2748530000000.0,181090000000.0,313990000000.0,81.95,272700000000.0,679150000000.0,7690000000.0,3706640000000.0,1683920000000.0,,924000000000.0,646970000000.0,1850580000000.0,849180000000.0,,11.138916,
TMPV.NS,2023-03-31,3428745900000.0,2280792700000.0,135830200000.0,24142900000.0,6.29,248603600000.0,353880100000.0,,3360813800000.0,1515284700000.0,,901075900000.0,911958100000.0,1550273400000.0,453217900000.0,,11.138916,
TMPV.NS,2022-03-31,2752352300000.0,1823319100000.0,111416100000.0,-114414700000.0,-29.88,248356900000.0,142828300000.0,15300000.0,3306199300000.0,1469775400000.0,395011500000.0,914504600000.0,990091700000.0,1506828100000.0,445612400000.0,,11.138916,
TMPV.NS,2021-03-31,,,,,,,,15700000.0,,,363749000000.0,,,,,,11.138916,
TATAPOWER.NS,2025-03-31,641277500000.0,441456100000.0,4885000000.0,39710000000.0,12.42,41168600000.0,126801900000.0,6390700000.0,1567102200000.0,299018600000.0,57097800000.0,913542000000.0,441297200000.0,453830800000.0,358406700000.0,,30.106466,
TATAPOWER.NS,2024-03-31,603880300000.0,440313400000.0,4385600000.0,36962500000.0,11.56,37863700000.0,125043700000.0,6390700000.0,1395524200000.0,284653800000.0,74016900000.0,775210400000.0,373922500000.0,422122300000.0,323552900000.0,,30.106466,
TATAPOWER.NS,2023-03-31,541176100000.0,410427400000.0,4028600000.0,33364400000.0,10.43,34392000000.0,71655900000.0,5591800000.0,1283490400000.0,310915700000.0,69521500000.0,645341300000.0,307084900000.0,440927800000.0,287874300000.0,,30.106466,
TATAPOWER.NS,2022-03-31,418466700000.0,299535700000.0,3239300000.0,17414600000.0,5.36,31236400000.0,66927300000.0,5585100000.0,1128846000000.0,246322600000.0,59797400000.0,590578200000.0,327297000000.0,387336500000.0,224415600000.0,,30.106466,
TATAPOWER.NS,2021-03-31,,,,,,,,,,,,,,,,,30.106466,
TATASTEEL.NS,2025-03-31,2168403500000.0,1230988700000.0,143272500000.0,34205100000.0,2.74,104263900000.0,235118100000.0,44898700000.0,2793948000000.0,683915400000.0,52600600000.0,1859527700000.0,685518100000.0,860935600000.0,911696300000.0,,31.559633,
TATASTEEL.NS,2024-03-31,2272962000000.0,1355772400000.0,126638800000.0,-44374400000.0,-3.62,98883600000.0,203006700000.0,44288000000.0,2734235000000.0,705482500000.0,62635300000.0,1769915900000.0,515767300000.0,984034800000.0,920357600000.0,,31.559633,
TATASTEEL.NS,2023-03-31,2416362500000.0,1460401300000.0,133444300000.0,87604000000.0,7.17,93414100000.0,216830800000.0,62926300000.0,2880217400000.0,866655400000.0,82572400000.0,1716838800000.0,514463300000.0,972951300000.0,1030821000000.0,,31.559633,
TATASTEEL.NS,2022-03-31,2423268700000.0,1138873900000.0,126192700000.0,401539300000.0,33.24,91088700000.0,443809900000.0,30201200000.0,2854456000000.0,925566100000.0,122464300000.0,1493049800000.0,447640700000.0,905880000000.0,1144430400000.0,,31.559633,
TATASTEEL.NS,2021-03-31,,,,,,,,,,,,,,,,,31.559633,
TATATECH.NS,2025-03-31,51643800000.0,36481200000.0,644900000.0,6769500000.0,16.69,1212100000.0,6992500000.0,4164800000.0,66642300000.0,46728100000.0,7711100000.0,2608500000.0,,26830000000.0,35794200000.0,,38.57519,
TATATECH.NS,2024-03-31,51132100000.0,36544200000.0,397400000.0,6793700000.0,16.75,1058700000.0,2943300000.0,4989700000.0,55783200000.0,39730000000.0,9671100000.0,3102800000.0,,21228400000.0,32208200000.0,,38.57519,
TATATECH.NS,2023-03-31,44125900000.0,30993700000.0,552300000.0,6240300000.0,15.382756,945500000.0,4013900000.0,,52014900000.0,37974700000.0,9517500000.0,3030900000.0,,19734100000.0,29894500000.0,,38.57519,
TATATECH.NS,2022-03-31,35284550000.0,25355330000.0,379930000.0,4369910000.0,10.77212,857100000.0,-386790000.0,,42179990000.0,29801680000.0,6472860000.0,3026370000.0,,16956830000.0,22801610000.0,,38.57519,
TATATECH.NS,2021-03-31,,,,,,,,,,,,,,,,,38.57519,
TTML.NS,2025-03-31,13027800000.0,3003900000.0,339100000.0,-12753200000.0,-6.52,1679300000.0,5051300000.0,,13037900000.0,2944800000.0,1446600000.0,8301700000.0,90878500000.0,99569000000.0,-195702900000.0,,,
