Symbol,Sector,TATA_Z,DSRI_Z,AQI_Z,P_OCF_Z,PEG_Z,DuPont_Discrepancy_Z
BIOCON,Healthcare,-0.44011916743215485,-1.103505226992118,-0.27111414193443567,-0.259778743226347,-1.5890402328328859,-0.2933300576253492
BLS,Consumer Services,-0.9434221150927136,2.570802340241096,3.61676105959617,-0.22800107219123417,-0.07030870976438439,-0.6188172167980873
BLUEDART,Services,-1.4499489595749442,0.1653446449009743,-0.6331334803364435,-0.37026961564327654,-1.245435076526575,0.22189648256157202
BLUEJET,Healthcare,1.549647357911389,1.4965488301283323,-1.4172432394697896,0.6819323026317553,-0.16113733827832655,-0.25270639879962753
BLUESTARCO,Consumer Durables,-0.11044578221977994,-0.9402361580719486,-0.4214938976235204,0.2950985200062135,-0.14168126784308668,-0.2929137121696
BOSCHLTD,Automobile and Auto Components,-0.2842198726080061,-0.2010290156284053,0.06775468573084555,-0.22338364847668393,-0.30173681512505185,-0.02665248457217094
BPCL,Oil Gas & Consumable Fuels,-0.2908612097416928,0.5381602317791505,-0.04608087028087708,-0.48782144240571357,-0.24466544848375482,0.6949862955114756
BRIGADE,Realty,-0.4978308522926202,1.2825157076035554,-0.05619670744220617,-0.5242711322420229,0.30407589282406006,-0.45063423527154467
BRITANNIA,Fast Moving Consumer Goods,-0.6573286735963892,-0.23962595695881986,1.9368692834546413,-0.1600954293569192,1.3155657129497047,1.14178227820131
BSOFT,Information Technology,-0.18012769278905857,0.33354153487506866,-0.40138692698845796,0.13622478014094846,-0.01890653810127348,-0.5765105300262215
CAMPUS,Consumer Durables,-1.4294755464191196,0.6016191941368304,1.82293819446593,0.2751617033454554,-0.13762588414103924,-0.5269744584327131
CAPLIPOINT,Healthcare,0.2734774409827878,-0.2338005717679552,0.35660095052689034,-0.21678835647721897,-0.14333128735262352,-0.2597245117100877
CARBORUNIV,Capital Goods,-0.2607386147086454,0.0929270150188044,-0.2640348211902865,-0.03265894622491891,-0.3002029994841579,-0.41863448438771617
CCL,Fast Moving Consumer Goods,-0.009388571058935459,0.1491510864141157,2.235238133696686,-0.2800521816575359,-0.26665393649082764,-0.611327316710168
CEATLTD,Automobile and Auto Components,-0.9425365815805613,0.5404358718878407,-0.13773193328090025,-0.3497120002553858,-0.18332751030963465,-0.20545348290065368
CENTURYPLY,Consumer Durables,0.8080269809039505,0.05739263426507242,-0.2609750670594486,-4.098163313557492,-0.41400071537219796,-0.7632052500534289
CERA,Consumer Durables,1.2590442851240673,1.5223564597750119,-0.09403478419180077,0.29518814796895315,0.32665880997008506,-0.15900452664261755
CESC,Power,0.5451141890286729,0.3176802819626103,-0.2493711293469285,-0.38644648074022797,-1.515490069886486,0.37993569366403934
CGPOWER,Capital Goods,-0.1696071657407386,0.022114831722941812,-0.17058503111948134,0.026347136316008875,-0.4021397681813008,0.49783745031797005
CHAMBLFERT,Chemicals,0.8044041808929936,2.899920504176337,0.021306508068590985,-0.6852982432034083,0.07669246770691251,0.1645079422412054
CHENNPETRO,Oil Gas & Consumable Fuels,-1.019471947214071,-2.2148507455546587,1.5226249207896714,-0.6156132878674881,-0.2445543340895468,1.2146413379642058
CIPLA,Healthcare,0.05968413892184789,0.11352726367622173,-0.35076376120555075,-0.2624291963646825,-0.15360825851036672,-0.1877960719346148
CLEAN,Chemicals,0.9519007363266423,-0.1112969085390913,-0.33470406713687695,0.2670774481903359,0.6009506236195498,0.18500462000897377
COALINDIA,Oil Gas & Consumable Fuels,2.38360224262291,-0.33795914120221604,2.2340318710217626,-0.20545604217272526,-0.2524539021290047,2.9499363875809115
COCHINSHIP,Capital Goods,0.9417501393316994,-1.667556329447006,-0.5672805863882965,-0.6750612830354543,1.2907019008608336,0.3235412964050219
COFORGE,Information Technology,-0.5645452772575938,0.7913458006051556,0.07515982352508516,0.19962727140500822,-0.22256816880917912,-0.31871780952621775
COLPAL,Fast Moving Consumer Goods,0.14271554296676212,0.4448194552474008,0.6903720831931626,-0.2583590785725847,-0.09599376928763768,3.69493900529002
CONCOR,Services,0.011480092569415363,0.4289856039153857,-1.8382553809551065,-0.12039586056940589,2.36058957792302,1.0754941545088719
CONCORDBIO,Healthcare,0.5285058498028304,0.9864492525458387,2.232734065092825,-0.004904508938249198,-0.13275705864624399,-0.12819920665451767
COROMANDEL,Chemicals,0.09667425229581382,-0.8403471464515453,0.7495037975723683,-0.32477378788543215,0.18216109887775778,0.037062006149336975
CRAFTSMAN,Automobile and Auto Components,-0.19260398320238786,0.9091912847627475,-0.5471676747973482,-0.1363236389877173,-0.2498680330553622,-0.6129030566084424
CROMPTON,Consumer Durables,-0.4058671354652816,-0.6205241581244032,-0.43197046050907345,0.2695861472634774,-0.17197486006137797,-0.1681415978632583
CUMMINSIND,Capital Goods,0.20518969337797263,-0.4068551083155565,-0.31873225754289847,-0.06688784147551038,0.44634847296897934,3.1625074031959106
CYIENT,Information Technology,-0.32362861333277304,0.9095077210073222,-0.4777283585764066,0.11355943321723254,-0.03924776036985277,-0.4742081686508435
DABUR,Fast Moving Consumer Goods,-0.3143224753980191,-0.5851732240261109,-0.3182729138181501,-0.28538281227225815,-0.9281152835124774,-0.26860798235492916
DALBHARAT,Construction Materials,-0.2757283389971669,-0.5573070986199671,0.05248955371145423,-0.3613995778035575,-0.5264668659844588,-0.6849997609465869
DATAPATTNS,Capital Goods,2.133604943749421,0.15652626826082533,0.23843851184002082,-0.6735303477348762,0.3697829885637627,-0.34098395966471173
DCMSHRIRAM,Diversified,-1.1156431901899306,1.1503451065231771,0.9584229230884697,-0.3691165817169741,0.7207236729721154,-0.5524007889158232
